previous_crop,next_crop,N_removed_kg_per_ha,P_removed_kg_per_ha,K_removed_kg_per_ha,expected_yield_t_ha,price_usd_ton,revenue_usd,fertilizer_cost_usd,profit_usd
Soybean,Rice,50,20,60,4.67,350,1635.55,65.0,1570.55
Chickpea,Soybean,60,14,60,3.43,450,1544.85,67.0,1477.85
Wheat,Tomato,80,30,90,36.18,400,14471.33,100.0,14371.33
Soybean,Tomato,50,20,60,28.12,400,11246.75,65.0,11181.75
Rice,Maize,100,40,120,5.71,216,1233.94,130.0,1103.94
Soybean,Maize,50,20,60,6.04,216,1303.8,65.0,1238.8
Maize,Potato,85,25,100,21.61,200,4322.29,105.0,4217.29
Wheat,Maize,80,30,90,5.79,216,1249.73,100.0,1149.73
Rice,Potato,100,40,120,24.89,200,4977.1,130.0,4847.1
Rice,Soybean,100,40,120,2.59,450,1163.95,130.0,1033.95
Maize,Chickpea,85,25,100,1.8,550,991.39,105.0,886.39
Chickpea,Potato,60,14,60,21.47,200,4294.91,67.0,4227.91
Rice,Soybean,100,40,120,2.66,450,1196.42,130.0,1066.42
Cotton,Potato,120,40,200,19.28,200,3855.1,180.0,3675.1
Tomato,Potato,200,75,300,24.76,200,4951.34,287.5,4663.84
Rice,Soybean,100,40,120,2.36,450,1063.26,130.0,933.26
Maize,Tomato,85,25,100,30.38,400,12151.45,105.0,12046.45
Potato,Rice,150,60,200,4.53,350,1586.72,205.0,1381.72
Soybean,Cotton,50,20,60,2.12,1800,3820.19,65.0,3755.19
Rice,Soybean,100,40,120,3.02,450,1359.62,130.0,1229.62
Potato,Wheat,150,60,200,3.79,335,1270.02,205.0,1065.02
Wheat,Soybean,80,30,90,3.16,450,1421.65,100.0,1321.65
Potato,Maize,150,60,200,3.78,216,816.58,205.0,611.58
Chickpea,Soybean,60,14,60,2.44,450,1096.45,67.0,1029.45
Chickpea,Rice,60,14,60,4.8,350,1679.14,67.0,1612.14
Cotton,Potato,120,40,200,27.14,200,5428.52,180.0,5248.52
Maize,Cotton,85,25,100,2.08,1800,3752.19,105.0,3647.19
Soybean,Cotton,50,20,60,2.42,1800,4353.48,65.0,4288.48
Cotton,Rice,120,40,200,5.8,350,2028.67,180.0,1848.67
Soybean,Wheat,50,20,60,2.92,335,978.81,65.0,913.81
Rice,Soybean,100,40,120,2.15,450,969.43,130.0,839.43
Chickpea,Soybean,60,14,60,2.82,450,1269.69,67.0,1202.69
Tomato,Maize,200,75,300,4.91,216,1059.59,287.5,772.09
Potato,Maize,150,60,200,7.55,216,1630.78,205.0,1425.78
Wheat,Cotton,80,30,90,1.96,1800,3532.18,100.0,3432.18
Cotton,Wheat,120,40,200,4.05,335,1357.09,180.0,1177.09
Tomato,Rice,200,75,300,5.12,350,1790.35,287.5,1502.85
Cotton,Tomato,120,40,200,27.39,400,10955.24,180.0,10775.24
Rice,Wheat,100,40,120,4.86,335,1628.31,130.0,1498.31
Rice,Cotton,100,40,120,1.67,1800,3002.76,130.0,2872.76
Potato,Wheat,150,60,200,3.55,335,1189.59,205.0,984.59
Tomato,Soybean,200,75,300,3.43,450,1541.65,287.5,1254.15
Potato,Chickpea,150,60,200,1.27,550,696.74,205.0,491.74
Soybean,Wheat,50,20,60,4.26,335,1428.05,65.0,1363.05
Cotton,Potato,120,40,200,16.64,200,3328.21,180.0,3148.21
Soybean,Cotton,50,20,60,2.55,1800,4594.65,65.0,4529.65
Wheat,Tomato,80,30,90,27.13,400,10852.35,100.0,10752.35
Cotton,Tomato,120,40,200,27.72,400,11087.21,180.0,10907.21
Wheat,Potato,80,30,90,22.1,200,4420.75,100.0,4320.75
Chickpea,Maize,60,14,60,6.0,216,1295.93,67.0,1228.93
Maize,Cotton,85,25,100,2.19,1800,3941.94,105.0,3836.94
Tomato,Chickpea,200,75,300,1.3,550,717.22,287.5,429.72
Rice,Soybean,100,40,120,2.86,450,1289.0,130.0,1159.0
Rice,Chickpea,100,40,120,1.68,550,923.11,130.0,793.11
Tomato,Maize,200,75,300,6.88,216,1486.44,287.5,1198.94
Cotton,Wheat,120,40,200,3.18,335,1066.44,180.0,886.44
Soybean,Tomato,50,20,60,39.92,400,15966.34,65.0,15901.34
Cotton,Rice,120,40,200,3.55,350,1243.82,180.0,1063.82
Potato,Tomato,150,60,200,26.44,400,10574.13,205.0,10369.13
Tomato,Chickpea,200,75,300,1.64,550,901.14,287.5,613.64
Cotton,Maize,120,40,200,3.59,216,774.56,180.0,594.56
Chickpea,Tomato,60,14,60,29.11,400,11645.13,67.0,11578.13
Potato,Tomato,150,60,200,30.15,400,12059.6,205.0,11854.6
Potato,Soybean,150,60,200,2.5,450,1124.03,205.0,919.03
Wheat,Maize,80,30,90,5.34,216,1154.07,100.0,1054.07
Cotton,Maize,120,40,200,6.91,216,1492.94,180.0,1312.94
Tomato,Chickpea,200,75,300,0.95,550,522.26,287.5,234.76
Wheat,Potato,80,30,90,17.56,200,3512.41,100.0,3412.41
Maize,Cotton,85,25,100,1.84,1800,3307.89,105.0,3202.89
Soybean,Maize,50,20,60,6.32,216,1365.93,65.0,1300.93
Rice,Soybean,100,40,120,2.65,450,1194.64,130.0,1064.64
Potato,Rice,150,60,200,3.13,350,1097.22,205.0,892.22
Chickpea,Cotton,60,14,60,2.72,1800,4894.65,67.0,4827.65
Rice,Soybean,100,40,120,2.64,450,1187.64,130.0,1057.64
Soybean,Potato,50,20,60,22.53,200,4505.38,65.0,4440.38
Cotton,Rice,120,40,200,3.26,350,1142.73,180.0,962.73
Rice,Wheat,100,40,120,4.41,335,1477.19,130.0,1347.19
Chickpea,Tomato,60,14,60,33.4,400,13358.57,67.0,13291.57
Soybean,Rice,50,20,60,3.85,350,1346.16,65.0,1281.16
Potato,Wheat,150,60,200,3.12,335,1046.1,205.0,841.1
Cotton,Tomato,120,40,200,30.53,400,12212.03,180.0,12032.03
Tomato,Soybean,200,75,300,2.43,450,1094.65,287.5,807.15
Cotton,Soybean,120,40,200,3.02,450,1359.38,180.0,1179.38
Tomato,Cotton,200,75,300,1.34,1800,2418.92,287.5,2131.42
Chickpea,Tomato,60,14,60,32.85,400,13138.15,67.0,13071.15
Rice,Wheat,100,40,120,3.13,335,1047.85,130.0,917.85
Cotton,Potato,120,40,200,20.09,200,4018.8,180.0,3838.8
Potato,Rice,150,60,200,5.58,350,1954.35,205.0,1749.35
Tomato,Wheat,200,75,300,2.87,335,960.79,287.5,673.29
Chickpea,Tomato,60,14,60,34.69,400,13875.72,67.0,13808.72
Potato,Cotton,150,60,200,2.95,1800,5317.41,205.0,5112.41
Chickpea,Rice,60,14,60,4.66,350,1630.01,67.0,1563.01
Tomato,Maize,200,75,300,6.18,216,1334.26,287.5,1046.76
Potato,Rice,150,60,200,4.54,350,1588.99,205.0,1383.99
Soybean,Cotton,50,20,60,2.87,1800,5157.22,65.0,5092.22
Rice,Cotton,100,40,120,1.6,1800,2885.46,130.0,2755.46
Soybean,Rice,50,20,60,5.36,350,1876.51,65.0,1811.51
Wheat,Maize,80,30,90,5.28,216,1140.37,100.0,1040.37
Maize,Rice,85,25,100,4.38,350,1533.67,105.0,1428.67
Tomato,Cotton,200,75,300,1.87,1800,3360.28,287.5,3072.78
Potato,Cotton,150,60,200,1.72,1800,3103.5,205.0,2898.5
Cotton,Rice,120,40,200,4.67,350,1632.82,180.0,1452.82
Wheat,Chickpea,80,30,90,1.58,550,868.08,100.0,768.08
Potato,Soybean,150,60,200,1.92,450,863.2,205.0,658.2
Soybean,Cotton,50,20,60,2.09,1800,3769.77,65.0,3704.77
Chickpea,Soybean,60,14,60,3.1,450,1394.38,67.0,1327.38
Maize,Wheat,85,25,100,2.67,335,894.0,105.0,789.0
Soybean,Chickpea,50,20,60,0.87,550,478.01,65.0,413.01
