Crop,Crop_Year,Season,State,Area,Production,Annual_Rainfall,Fertilizer,Pesticide,Yield
Cotton(lint),2021,Whole Year,Himachal Pradesh,2921.81,3534.49,1393.39,307737.45,687.39,1.21
Dry chillies,2021,Whole Year,Himachal Pradesh,6192.88,12347.58,1393.39,998012.43,1386.58,1.99
Gram,2021,Whole Year,Himachal Pradesh,9782.37,16631.77,1393.39,975341.95,3316.77,1.7
Jute,2021,Whole Year,Himachal Pradesh,3062.39,5707.45,1393.39,544731.27,1161.74,1.86
Linseed,2021,Whole Year,Himachal Pradesh,8846.74,10388.12,1393.39,995167.59,2156.29,1.17
Maize,2021,Whole Year,Himachal Pradesh,2741.34,9104.67,1393.39,271734.63,607.34,3.32
Mesta,2021,Whole Year,Himachal Pradesh,6997.49,8440.62,1393.39,777053.21,3329.61,1.21
Niger seed,2021,Whole Year,Himachal Pradesh,3436.64,2929.57,1393.39,589771.58,1078.39,0.85
Onion,2021,Whole Year,Himachal Pradesh,5050.67,9404.86,1393.39,568995.75,1805.2,1.86
Other Rabi pulses,2021,Whole Year,Himachal Pradesh,6843.13,13467.11,1393.39,807527.36,2720.64,1.97
Potato,2021,Whole Year,Himachal Pradesh,621.91,38824.49,1393.39,83808.89,254.21,62.43
Rapeseed &Mustard,2021,Whole Year,Himachal Pradesh,9445.24,19542.86,1393.39,945336.19,4567.29,2.07
Rice,2021,Whole Year,Himachal Pradesh,8916.74,27246.32,1393.39,736866.37,2874.1,3.06
Sesamum,2021,Whole Year,Himachal Pradesh,6574.55,5652.68,1393.39,1152875.43,2101.14,0.86
Small millets,2021,Whole Year,Himachal Pradesh,4491.9,7298.41,1393.39,480141.71,1656.81,1.62
Sugarcane,2021,Whole Year,Himachal Pradesh,9727.51,886831.72,1393.39,1873203.2,3010.71,91.17
Sweet potato,2021,Whole Year,Himachal Pradesh,3163.59,5640.12,1393.39,489097.43,1120.84,1.78
Tapioca,2021,Whole Year,Himachal Pradesh,3751.02,10044.59,1393.39,478436.39,779.94,2.68
Tobacco,2021,Whole Year,Himachal Pradesh,2932.65,5281.86,1393.39,261095.57,1185.21,1.8
Turmeric,2021,Whole Year,Himachal Pradesh,2820.72,4872.37,1393.39,518188.75,1009.48,1.73
Wheat,2021,Whole Year,Himachal Pradesh,4536.88,18728.43,1393.39,490648.02,1753.28,4.13
Bajra,2021,Whole Year,Himachal Pradesh,458.48,1034.57,1393.39,78653.47,194.06,2.26
Black pepper,2021,Whole Year,Himachal Pradesh,7020.13,13489.92,1393.39,1369985.88,3506.37,1.92
Cardamom,2021,Whole Year,Himachal Pradesh,5469.84,10428.8,1393.39,477880.61,1648.96,1.91
Coriander,2021,Whole Year,Himachal Pradesh,2570.4,4160.75,1393.39,377614.75,575.12,1.62
Garlic,2021,Whole Year,Himachal Pradesh,3570.38,3243.65,1393.39,709305.88,1095.28,0.91
Ginger,2021,Whole Year,Himachal Pradesh,7406.68,9343.59,1393.39,786362.04,2842.69,1.26
Groundnut,2021,Whole Year,Himachal Pradesh,8350.64,17144.83,1393.39,1504493.08,1817.52,2.05
Horse-gram,2021,Whole Year,Himachal Pradesh,7695.72,18958.4,1393.39,1487535.41,2479.2,2.46
Jowar,2021,Whole Year,Himachal Pradesh,1063.49,1838.06,1393.39,176201.14,398.56,1.73
Ragi,2021,Whole Year,Himachal Pradesh,2364.16,4958.17,1393.39,418198.51,1143.34,2.1
Cashewnut,2021,Whole Year,Himachal Pradesh,5159.56,11567.46,1393.39,613227.4,2339.96,2.24
Banana,2021,Whole Year,Himachal Pradesh,5301.36,211948.53,1393.39,756197.55,2249.51,39.98
Soyabean,2021,Whole Year,Himachal Pradesh,7852.15,7829.17,1393.39,1367678.68,1617.8,1.0
Barley,2021,Whole Year,Himachal Pradesh,4354.63,4377.15,1393.39,870139.39,1349.69,1.01
Khesari,2021,Whole Year,Himachal Pradesh,8469.36,10778.41,1393.39,900781.37,3993.42,1.27
Masoor,2021,Whole Year,Himachal Pradesh,4325.82,3421.35,1393.39,657827.39,1989.68,0.79
Moong(Green Gram),2021,Whole Year,Himachal Pradesh,7370.81,8383.19,1393.39,1217078.53,3303.98,1.14
Other Kharif pulses,2021,Whole Year,Himachal Pradesh,5588.42,10055.94,1393.39,601149.8,1757.73,1.8
Safflower,2021,Whole Year,Himachal Pradesh,7745.84,18516.53,1393.39,882521.74,3591.9,2.39
Sannhamp,2021,Whole Year,Himachal Pradesh,384.85,353.13,1393.39,49162.78,98.13,0.92
Sunflower,2021,Whole Year,Himachal Pradesh,5276.88,13031.28,1393.39,686709.29,1680.51,2.47
Urad,2021,Whole Year,Himachal Pradesh,798.86,783.23,1393.39,149560.59,329.64,0.98
Peas & beans (Pulses),2021,Whole Year,Himachal Pradesh,7768.15,10703.82,1393.39,1129531.59,2716.8,1.38
other oilseeds,2021,Whole Year,Himachal Pradesh,5409.94,12017.76,1393.39,790702.7,2000.97,2.22
Other Cereals,2021,Whole Year,Himachal Pradesh,4966.36,5489.38,1393.39,700223.58,2338.35,1.11
Cowpea(Lobia),2021,Whole Year,Himachal Pradesh,832.77,1259.1,1393.39,84921.76,215.55,1.51
Oilseeds total,2021,Whole Year,Himachal Pradesh,4172.54,5805.68,1393.39,445292.92,1948.65,1.39
Guar seed,2021,Whole Year,Himachal Pradesh,1596.96,1085.4,1393.39,152489.66,347.25,0.68
Other Summer Pulses,2021,Whole Year,Himachal Pradesh,4931.43,6453.85,1393.39,783067.21,1154.14,1.31
Moth,2021,Whole Year,Himachal Pradesh,9544.23,18819.54,1393.39,1099981.95,2286.35,1.97
Cotton(lint),2021,Kharif,Himachal Pradesh,806.16,1425.33,1393.39,102823.41,299.31,1.77
Maize,2021,Kharif,Himachal Pradesh,9207.91,48770.9,1393.39,1694917.63,1898.38,5.3
Rice,2021,Kharif,Himachal Pradesh,4807.51,21236.86,1393.39,822681.74,1916.05,4.42
Groundnut,2021,Kharif,Himachal Pradesh,2088.43,4995.64,1393.39,251261.15,797.53,2.39
Soyabean,2021,Kharif,Himachal Pradesh,9879.36,15896.6,1393.39,1740607.91,4616.09,1.61
Gram,2021,Rabi,Himachal Pradesh,3814.96,6584.9,1393.39,376731.6,1093.41,1.73
Potato,2021,Rabi,Himachal Pradesh,6565.33,727027.07,1393.39,897572.78,2427.14,110.74
Rapeseed &Mustard,2021,Rabi,Himachal Pradesh,9898.13,27510.54,1393.39,1261484.44,3232.77,2.78
Wheat,2021,Rabi,Himachal Pradesh,6885.13,39783.46,1393.39,1343731.57,1817.28,5.78
Arecanut,2021,Autumn,Himachal Pradesh,5625.06,4389.28,1393.39,582630.8,2799.1,0.78
Arhar/Tur,2021,Autumn,Himachal Pradesh,7633.4,16874.9,1393.39,820427.07,2304.87,2.21
Castor seed,2021,Autumn,Himachal Pradesh,1166.35,1772.79,1393.39,135027.78,349.08,1.52
Cotton(lint),2021,Autumn,Himachal Pradesh,196.26,349.68,1393.39,26732.34,71.67,1.78
Dry chillies,2021,Autumn,Himachal Pradesh,6967.01,5286.12,1393.39,1178079.56,1443.35,0.76
Gram,2021,Autumn,Himachal Pradesh,6009.5,9677.34,1393.39,796189.82,1210.41,1.61
Jute,2021,Autumn,Himachal Pradesh,9003.96,21843.99,1393.39,914546.96,2650.6,2.43
Linseed,2021,Autumn,Himachal Pradesh,4272.52,10555.83,1393.39,384489.28,1783.74,2.47
Maize,2021,Autumn,Himachal Pradesh,403.74,1180.27,1393.39,63838.23,164.5,2.92
Mesta,2021,Autumn,Himachal Pradesh,3132.77,4924.24,1393.39,307201.68,870.29,1.57
Niger seed,2021,Autumn,Himachal Pradesh,8690.49,19137.79,1393.39,1045194.25,4097.72,2.2
Onion,2021,Autumn,Himachal Pradesh,8305.02,11548.9,1393.39,705878.36,2335.24,1.39
Other Rabi pulses,2021,Autumn,Himachal Pradesh,4116.39,5483.57,1393.39,802894.66,1688.44,1.33
Potato,2021,Autumn,Himachal Pradesh,5249.39,267839.23,1393.39,718878.29,1061.26,51.02
Rapeseed &Mustard,2021,Autumn,Himachal Pradesh,2042.88,4323.53,1393.39,266269.79,526.48,2.12
Rice,2021,Autumn,Himachal Pradesh,4818.64,17798.72,1393.39,406217.86,1672.87,3.69
Sesamum,2021,Autumn,Himachal Pradesh,8599.23,17525.29,1393.39,846766.31,3844.24,2.04
Small millets,2021,Autumn,Himachal Pradesh,4547.13,8787.84,1393.39,833320.72,1317.14,1.93
Sugarcane,2021,Autumn,Himachal Pradesh,9298.11,295991.04,1393.39,1639928.69,2782.71,31.83
Sweet potato,2021,Autumn,Himachal Pradesh,8061.63,14444.48,1393.39,646066.03,2581.61,1.79
Tapioca,2021,Autumn,Himachal Pradesh,7514.95,16297.49,1393.39,628308.9,2376.06,2.17
Tobacco,2021,Autumn,Himachal Pradesh,5471.7,9587.75,1393.39,909372.71,1831.19,1.75
Turmeric,2021,Autumn,Himachal Pradesh,107.65,118.27,1393.39,11094.39,29.42,1.1
Wheat,2021,Autumn,Himachal Pradesh,3091.89,12336.22,1393.39,525312.31,669.3,3.99
Bajra,2021,Autumn,Himachal Pradesh,6254.88,11161.1,1393.39,1159455.83,3030.79,1.78
Black pepper,2021,Autumn,Himachal Pradesh,6576.02,7580.73,1393.39,1063092.77,3227.63,1.15
Cardamom,2021,Autumn,Himachal Pradesh,8815.02,14215.2,1393.39,1546774.48,3345.26,1.61
Coriander,2021,Autumn,Himachal Pradesh,5084.55,9455.18,1393.39,774774.7,1581.16,1.86
Garlic,2021,Autumn,Himachal Pradesh,1986.28,4488.2,1393.39,202337.66,695.2,2.26
Ginger,2021,Autumn,Himachal Pradesh,888.61,929.63,1393.39,79004.29,207.72,1.05
Groundnut,2021,Autumn,Himachal Pradesh,1577.26,1373.43,1393.39,301804.45,529.26,0.87
Horse-gram,2021,Autumn,Himachal Pradesh,3894.78,3746.32,1393.39,549891.69,798.76,0.96
Jowar,2021,Autumn,Himachal Pradesh,5587.68,5311.91,1393.39,752664.39,1734.98,0.95
Ragi,2021,Autumn,Himachal Pradesh,3779.64,4535.73,1393.39,687688.01,1761.52,1.2
Cashewnut,2021,Autumn,Himachal Pradesh,4609.1,5772.98,1393.39,875553.53,1401.27,1.25
Banana,2021,Autumn,Himachal Pradesh,9991.68,460706.1,1393.39,1417529.22,3255.72,46.11
Soyabean,2021,Autumn,Himachal Pradesh,1109.16,1888.0,1393.39,131212.88,295.51,1.7
Barley,2021,Autumn,Himachal Pradesh,940.33,1777.75,1393.39,158768.68,408.23,1.89
Khesari,2021,Autumn,Himachal Pradesh,9982.76,12652.28,1393.39,1386745.0,3345.51,1.27
Masoor,2021,Autumn,Himachal Pradesh,9708.98,14625.64,1393.39,975643.16,2393.02,1.51
Moong(Green Gram),2021,Autumn,Himachal Pradesh,6602.73,10304.07,1393.39,659971.62,1908.73,1.56
Other Kharif pulses,2021,Autumn,Himachal Pradesh,8189.55,10329.7,1393.39,726349.89,3923.77,1.26
Safflower,2021,Autumn,Himachal Pradesh,1129.7,792.67,1393.39,154821.11,277.2,0.7
Sannhamp,2021,Autumn,Himachal Pradesh,7318.65,10528.36,1393.39,1085096.41,3507.01,1.44
Sunflower,2021,Autumn,Himachal Pradesh,2212.63,3336.87,1393.39,228032.65,1105.39,1.51
Urad,2021,Autumn,Himachal Pradesh,7485.45,11443.29,1393.39,1106858.96,2544.69,1.53
Peas & beans (Pulses),2021,Autumn,Himachal Pradesh,1664.93,1911.02,1393.39,320354.44,432.26,1.15
other oilseeds,2021,Autumn,Himachal Pradesh,7725.04,19196.4,1393.39,1271702.74,1788.7,2.48
Other Cereals,2021,Autumn,Himachal Pradesh,2201.77,4207.86,1393.39,350462.99,884.65,1.91
Cowpea(Lobia),2021,Autumn,Himachal Pradesh,5022.35,10246.44,1393.39,619157.21,1929.4,2.04
Oilseeds total,2021,Autumn,Himachal Pradesh,7635.3,8572.95,1393.39,661126.37,2539.13,1.12
Guar seed,2021,Autumn,Himachal Pradesh,1199.03,2714.07,1393.39,154701.74,500.98,2.26
Other Summer Pulses,2021,Autumn,Himachal Pradesh,7371.03,7331.54,1393.39,1373253.46,2885.11,0.99
Moth,2021,Autumn,Himachal Pradesh,9378.36,8224.72,1393.39,1600151.84,3528.39,0.88
Arecanut,2021,Summer,Himachal Pradesh,8900.43,9413.29,1393.39,845950.8,2446.28,1.06
Arhar/Tur,2021,Summer,Himachal Pradesh,8326.97,12048.12,1393.39,981148.12,2889.61,1.45
Castor seed,2021,Summer,Himachal Pradesh,6477.39,12686.23,1393.39,1140131.0,2690.08,1.96
Cotton(lint),2021,Summer,Himachal Pradesh,9885.0,17470.19,1393.39,1856639.64,4745.62,1.77
Dry chillies,2021,Summer,Himachal Pradesh,1405.92,1412.77,1393.39,161828.89,425.46,1.0
Gram,2021,Summer,Himachal Pradesh,7710.7,11617.7,1393.39,987381.09,2304.75,1.51
Jute,2021,Summer,Himachal Pradesh,9166.77,11461.13,1393.39,1173822.38,3803.61,1.25
Linseed,2021,Summer,Himachal Pradesh,5123.43,10380.66,1393.39,852701.8,2042.81,2.03
Maize,2021,Summer,Himachal Pradesh,9453.55,28928.01,1393.39,1878249.32,4015.98,3.06
Mesta,2021,Summer,Himachal Pradesh,9834.95,9055.3,1393.39,1523481.5,2635.05,0.92
Niger seed,2021,Summer,Himachal Pradesh,8004.03,17952.37,1393.39,779939.19,3385.77,2.24
Onion,2021,Summer,Himachal Pradesh,1304.16,1969.83,1393.39,105964.22,303.69,1.51
Other Rabi pulses,2021,Summer,Himachal Pradesh,8524.3,12409.16,1393.39,699065.67,2481.64,1.46
Potato,2021,Summer,Himachal Pradesh,7621.89,407191.22,1393.39,1476578.01,1812.99,53.42
Rapeseed &Mustard,2021,Summer,Himachal Pradesh,5692.24,14511.02,1393.39,1012924.08,2397.94,2.55
Rice,2021,Summer,Himachal Pradesh,4600.68,22103.51,1393.39,383955.83,1272.63,4.8
Sesamum,2021,Summer,Himachal Pradesh,3588.26,4128.6,1393.39,704401.52,1630.11,1.15
Small millets,2021,Summer,Himachal Pradesh,6679.31,10052.47,1393.39,1239803.1,3004.04,1.51
Sugarcane,2021,Summer,Himachal Pradesh,9701.92,440782.87,1393.39,1567590.86,2033.01,45.43
Sweet potato,2021,Summer,Himachal Pradesh,5559.09,7316.47,1393.39,662987.86,1239.48,1.32
Tapioca,2021,Summer,Himachal Pradesh,3645.96,10265.14,1393.39,442852.87,1625.34,2.82
Tobacco,2021,Summer,Himachal Pradesh,4513.95,4401.76,1393.39,722376.54,2119.65,0.98
Turmeric,2021,Summer,Himachal Pradesh,9181.65,20037.4,1393.39,1700815.5,2444.6,2.18
Wheat,2021,Summer,Himachal Pradesh,3943.18,10828.57,1393.39,631366.96,1163.18,2.75
Bajra,2021,Summer,Himachal Pradesh,1385.07,1266.52,1393.39,236695.41,660.73,0.91
Black pepper,2021,Summer,Himachal Pradesh,650.84,1119.43,1393.39,117963.5,205.0,1.72
Cardamom,2021,Summer,Himachal Pradesh,3191.36,4214.54,1393.39,294057.93,707.86,1.32
Coriander,2021,Summer,Himachal Pradesh,1054.37,1009.9,1393.39,104630.59,216.46,0.96
Garlic,2021,Summer,Himachal Pradesh,9491.05,19814.67,1393.39,1890035.36,2230.76,2.09
Ginger,2021,Summer,Himachal Pradesh,6057.28,10348.45,1393.39,1048082.56,1483.25,1.71
Groundnut,2021,Summer,Himachal Pradesh,6994.56,13841.79,1393.39,1066189.05,2657.9,1.98
Horse-gram,2021,Summer,Himachal Pradesh,8412.01,22513.14,1393.39,1045579.43,3656.48,2.68
Jowar,2021,Summer,Himachal Pradesh,4421.98,8082.45,1393.39,445697.81,2033.97,1.83
Ragi,2021,Summer,Himachal Pradesh,2736.48,4069.56,1393.39,355007.29,935.13,1.49
Cashewnut,2021,Summer,Himachal Pradesh,8223.74,8904.62,1393.39,1511167.47,3564.73,1.08
Banana,2021,Summer,Himachal Pradesh,8514.2,524088.19,1393.39,1154715.78,3218.17,61.55
Soyabean,2021,Summer,Himachal Pradesh,2749.73,4707.34,1393.39,419471.4,886.43,1.71
Barley,2021,Summer,Himachal Pradesh,5219.87,3374.02,1393.39,710236.95,1597.35,0.65
Khesari,2021,Summer,Himachal Pradesh,1393.46,2519.45,1393.39,129076.74,335.39,1.81
Masoor,2021,Summer,Himachal Pradesh,3862.71,3653.97,1393.39,616337.6,1336.19,0.95
Moong(Green Gram),2021,Summer,Himachal Pradesh,6721.04,8244.34,1393.39,588805.43,2922.83,1.23
Other Kharif pulses,2021,Summer,Himachal Pradesh,4161.67,6482.42,1393.39,700303.51,1232.15,1.56
Safflower,2021,Summer,Himachal Pradesh,3862.34,8505.34,1393.39,446139.02,1917.11,2.2
Sannhamp,2021,Summer,Himachal Pradesh,2201.3,2376.6,1393.39,341362.79,807.95,1.08
Sunflower,2021,Summer,Himachal Pradesh,6872.62,11393.37,1393.39,915062.91,3367.94,1.66
Urad,2021,Summer,Himachal Pradesh,7483.25,12199.69,1393.39,757751.65,1987.06,1.63
Peas & beans (Pulses),2021,Summer,Himachal Pradesh,5423.82,4772.37,1393.39,574838.27,2505.67,0.88
other oilseeds,2021,Summer,Himachal Pradesh,4158.11,5108.31,1393.39,385246.98,1670.2,1.23
Other Cereals,2021,Summer,Himachal Pradesh,6110.4,6136.32,1393.39,794741.59,1681.94,1.0
Cowpea(Lobia),2021,Summer,Himachal Pradesh,9740.84,19299.37,1393.39,969258.38,4673.91,1.98
Oilseeds total,2021,Summer,Himachal Pradesh,8765.68,8326.13,1393.39,1199745.29,1815.48,0.95
Guar seed,2021,Summer,Himachal Pradesh,1708.04,2971.21,1393.39,238494.93,480.61,1.74
Other Summer Pulses,2021,Summer,Himachal Pradesh,3888.25,6941.8,1393.39,745988.18,892.39,1.79
Moth,2021,Summer,Himachal Pradesh,5780.85,12003.92,1393.39,911553.54,2415.81,2.08
Arecanut,2021,Winter,Himachal Pradesh,5581.28,9703.75,1393.39,1006683.87,1613.41,1.74
Arhar/Tur,2021,Winter,Himachal Pradesh,9391.71,22130.98,1393.39,1571970.28,3519.29,2.36
Castor seed,2021,Winter,Himachal Pradesh,6271.99,5103.46,1393.39,563156.46,3105.67,0.81
Cotton(lint),2021,Winter,Himachal Pradesh,6605.55,10957.24,1393.39,790164.64,1937.47,1.66
Dry chillies,2021,Winter,Himachal Pradesh,1467.85,2056.43,1393.39,236419.49,530.46,1.4
Gram,2021,Winter,Himachal Pradesh,9042.06,13615.39,1393.39,1797241.54,2843.73,1.51
Jute,2021,Winter,Himachal Pradesh,846.07,1436.13,1393.39,119354.19,275.28,1.7
Linseed,2021,Winter,Himachal Pradesh,6957.17,6705.02,1393.39,1367712.13,1926.86,0.96
Maize,2021,Winter,Himachal Pradesh,1393.72,4371.06,1393.39,219386.8,680.79,3.14
Mesta,2021,Winter,Himachal Pradesh,8780.53,17736.97,1393.39,1408124.23,2092.96,2.02
Niger seed,2021,Winter,Himachal Pradesh,6368.89,8600.68,1393.39,839828.51,2840.47,1.35
Onion,2021,Winter,Himachal Pradesh,9384.17,17673.68,1393.39,961401.79,2568.7,1.88
Other Rabi pulses,2021,Winter,Himachal Pradesh,8180.53,13610.85,1393.39,1507354.02,3696.22,1.66
Potato,2021,Winter,Himachal Pradesh,9322.2,607329.98,1393.39,1135024.45,3640.26,65.15
Rapeseed &Mustard,2021,Winter,Himachal Pradesh,6326.08,14301.58,1393.39,1214794.96,2658.01,2.26
Rice,2021,Winter,Himachal Pradesh,1231.01,4252.4,1393.39,174537.77,373.14,3.45
Sesamum,2021,Winter,Himachal Pradesh,3432.2,5358.98,1393.39,570629.16,866.48,1.56
Small millets,2021,Winter,Himachal Pradesh,4049.19,6575.29,1393.39,699812.38,1005.08,1.62
Sugarcane,2021,Winter,Himachal Pradesh,5716.74,349040.77,1393.39,1084514.98,2766.01,61.06
Sweet potato,2021,Winter,Himachal Pradesh,9424.08,16197.28,1393.39,1464617.73,4000.28,1.72
Tapioca,2021,Winter,Himachal Pradesh,7599.71,12831.85,1393.39,1442951.81,3624.74,1.69
Tobacco,2021,Winter,Himachal Pradesh,2419.39,4027.28,1393.39,270400.78,1008.83,1.66
Turmeric,2021,Winter,Himachal Pradesh,5813.61,11458.58,1393.39,1107480.19,1652.87,1.97
Wheat,2021,Winter,Himachal Pradesh,1050.04,4452.9,1393.39,197583.31,412.39,4.24
Bajra,2021,Winter,Himachal Pradesh,8535.95,6593.12,1393.39,1494114.27,3213.91,0.77
Black pepper,2021,Winter,Himachal Pradesh,8448.03,11042.4,1393.39,1145505.77,3631.19,1.31
Cardamom,2021,Winter,Himachal Pradesh,1054.4,1129.58,1393.39,195942.33,245.96,1.07
Coriander,2021,Winter,Himachal Pradesh,5289.35,10780.6,1393.39,686486.44,1590.73,2.04
Garlic,2021,Winter,Himachal Pradesh,2551.86,2930.83,1393.39,405807.71,1221.03,1.15
Ginger,2021,Winter,Himachal Pradesh,4453.98,8379.27,1393.39,864535.52,926.32,1.88
Groundnut,2021,Winter,Himachal Pradesh,7163.77,6507.09,1393.39,1299022.34,2361.76,0.91
Horse-gram,2021,Winter,Himachal Pradesh,1660.03,2787.97,1393.39,171053.67,376.3,1.68
Jowar,2021,Winter,Himachal Pradesh,7774.48,15667.45,1393.39,1147953.96,2797.85,2.02
Ragi,2021,Winter,Himachal Pradesh,1844.31,4338.91,1393.39,176733.41,692.92,2.35
Cashewnut,2021,Winter,Himachal Pradesh,3731.22,7744.18,1393.39,727345.42,864.25,2.08
Banana,2021,Winter,Himachal Pradesh,5276.86,261675.13,1393.39,604275.71,1217.78,49.59
Soyabean,2021,Winter,Himachal Pradesh,3054.13,5205.13,1393.39,363203.77,1476.49,1.7
Barley,2021,Winter,Himachal Pradesh,3146.77,7751.52,1393.39,483757.79,1252.61,2.46
Khesari,2021,Winter,Himachal Pradesh,7497.76,9272.92,1393.39,1191503.93,1779.14,1.24
Masoor,2021,Winter,Himachal Pradesh,5434.79,8556.8,1393.39,1054811.48,1315.68,1.57
Moong(Green Gram),2021,Winter,Himachal Pradesh,8363.05,15203.61,1393.39,837555.55,2193.18,1.82
Other Kharif pulses,2021,Winter,Himachal Pradesh,6152.53,7293.58,1393.39,921623.42,2895.26,1.19
Safflower,2021,Winter,Himachal Pradesh,1982.78,2206.11,1393.39,343967.85,526.41,1.11
Sannhamp,2021,Winter,Himachal Pradesh,458.9,674.77,1393.39,49842.94,143.72,1.47
Sunflower,2021,Winter,Himachal Pradesh,1568.43,2239.39,1393.39,278591.59,461.61,1.43
Urad,2021,Winter,Himachal Pradesh,3532.88,4900.63,1393.39,375529.08,980.47,1.39
Peas & beans (Pulses),2021,Winter,Himachal Pradesh,3563.17,6510.51,1393.39,477109.77,838.46,1.83
other oilseeds,2021,Winter,Himachal Pradesh,122.29,205.5,1393.39,11835.65,49.13,1.68
Other Cereals,2021,Winter,Himachal Pradesh,2718.56,3410.97,1393.39,479291.32,884.35,1.25
Cowpea(Lobia),2021,Winter,Himachal Pradesh,5212.88,6140.61,1393.39,855976.65,2449.4,1.18
Oilseeds total,2021,Winter,Himachal Pradesh,3577.85,5061.17,1393.39,350566.98,1438.12,1.41
Guar seed,2021,Winter,Himachal Pradesh,1691.92,1893.36,1393.39,142854.56,837.85,1.12
Other Summer Pulses,2021,Winter,Himachal Pradesh,8566.48,21318.44,1393.39,1247756.12,3366.1,2.49
Moth,2021,Winter,Himachal Pradesh,9617.82,17057.84,1393.39,1577495.17,2118.75,1.77
Arecanut,2021,Whole Year,Tripura,3438.68,5230.59,695.88,540429.67,1488.18,1.52
Arhar/Tur,2021,Whole Year,Tripura,6812.7,15048.14,695.88,1015817.22,1439.48,2.21
Castor seed,2021,Whole Year,Tripura,6110.1,11290.73,695.88,995805.94,1335.49,1.85
Cotton(lint),2021,Whole Year,Tripura,7519.61,6257.67,695.88,1347210.05,3032.78,0.83
Dry chillies,2021,Whole Year,Tripura,4246.56,3046.45,695.88,525988.16,1779.14,0.72
Gram,2021,Whole Year,Tripura,7314.12,7988.92,695.88,654645.24,2516.5,1.09
Jute,2021,Whole Year,Tripura,3448.31,4604.27,695.88,559954.42,893.94,1.34
Linseed,2021,Whole Year,Tripura,1445.51,3336.88,695.88,167571.05,512.67,2.31
Maize,2021,Whole Year,Tripura,1803.0,4047.75,695.88,181454.3,738.28,2.25
Mesta,2021,Whole Year,Tripura,2880.73,3775.96,695.88,377346.7,1177.15,1.31
Niger seed,2021,Whole Year,Tripura,255.34,414.89,695.88,43982.6,90.47,1.62
Onion,2021,Whole Year,Tripura,1598.6,2570.41,695.88,136126.86,674.07,1.61
Other Rabi pulses,2021,Whole Year,Tripura,8864.67,10590.86,695.88,870293.64,4193.04,1.19
Potato,2021,Whole Year,Tripura,3342.24,174152.1,695.88,436774.08,1065.41,52.11
Rapeseed &Mustard,2021,Whole Year,Tripura,6121.5,9110.69,695.88,1147073.26,2785.6,1.49
Rice,2021,Whole Year,Tripura,9965.05,25861.24,695.88,1523680.01,4400.79,2.6
Sesamum,2021,Whole Year,Tripura,9378.91,20449.86,695.88,1777109.04,3085.55,2.18
Small millets,2021,Whole Year,Tripura,3316.82,2888.3,695.88,366867.1,1511.4,0.87
Sugarcane,2021,Whole Year,Tripura,2533.11,230170.32,695.88,422979.07,1254.47,90.86
Sweet potato,2021,Whole Year,Tripura,1351.62,1199.1,695.88,108175.32,372.56,0.89
Tapioca,2021,Whole Year,Tripura,7150.25,12517.42,695.88,991273.17,3052.25,1.75
Tobacco,2021,Whole Year,Tripura,3704.26,5890.22,695.88,565288.43,1296.85,1.59
Turmeric,2021,Whole Year,Tripura,494.0,461.11,695.88,85373.21,202.57,0.93
Wheat,2021,Whole Year,Tripura,3000.96,12571.27,695.88,489704.33,1298.63,4.19
Bajra,2021,Whole Year,Tripura,2304.18,4716.97,695.88,369246.8,982.77,2.05
Black pepper,2021,Whole Year,Tripura,6863.91,5772.77,695.88,747007.93,3070.68,0.84
Cardamom,2021,Whole Year,Tripura,3637.06,5317.26,695.88,404477.31,1378.23,1.46
Coriander,2021,Whole Year,Tripura,4948.37,5771.38,695.88,458541.78,1421.63,1.17
Garlic,2021,Whole Year,Tripura,2217.16,3071.73,695.88,280065.82,568.08,1.39
Ginger,2021,Whole Year,Tripura,3931.36,5041.23,695.88,415730.26,790.71,1.28
Groundnut,2021,Whole Year,Tripura,3462.08,6113.89,695.88,495451.21,1039.72,1.77
Horse-gram,2021,Whole Year,Tripura,115.06,246.99,695.88,12765.04,53.03,2.15
Jowar,2021,Whole Year,Tripura,8001.01,6479.27,695.88,1344566.41,2814.24,0.81
Ragi,2021,Whole Year,Tripura,9952.63,11027.12,695.88,1857886.48,2518.56,1.11
Cashewnut,2021,Whole Year,Tripura,5164.36,5225.43,695.88,965476.44,1088.66,1.01
Banana,2021,Whole Year,Tripura,5381.46,360753.21,695.88,466767.93,2474.57,67.04
Soyabean,2021,Whole Year,Tripura,9241.52,11275.25,695.88,771514.7,3295.26,1.22
Barley,2021,Whole Year,Tripura,4854.58,5932.96,695.88,836349.89,2277.33,1.22
Khesari,2021,Whole Year,Tripura,6331.75,9803.56,695.88,875975.28,1412.57,1.55
Masoor,2021,Whole Year,Tripura,445.34,911.13,695.88,52967.2,123.95,2.05
Moong(Green Gram),2021,Whole Year,Tripura,1110.29,1110.72,695.88,189093.98,507.42,1.0
Other Kharif pulses,2021,Whole Year,Tripura,5474.18,11272.72,695.88,1044995.03,2549.56,2.06
Safflower,2021,Whole Year,Tripura,1799.46,1803.3,695.88,217751.06,609.08,1.0
Sannhamp,2021,Whole Year,Tripura,7176.68,10509.75,695.88,1276402.31,2297.66,1.46
Sunflower,2021,Whole Year,Tripura,7127.01,14026.18,695.88,990353.9,2566.56,1.97
Urad,2021,Whole Year,Tripura,7695.5,16490.29,695.88,945785.5,3685.29,2.14
